,Day00Inoc,Day01NoC,Day03NoC,Day07NoC,Day14NoC,Day21NoC,Day30NoC,Day42NoC,Day01LowCrysWater,Day03LowCrysWater,Day07LowCrysWater,Day14LowCrysWater,Day21LowCrysWater,Day30LowCrysWater,Day42LowCrysWater,Day01LowCrys,Day03LowCrys,Day07LowCrys,Day14LowCrys,Day21LowCrys,Day30LowCrys,Day42LowCrys,Day01PET,Day03PET,Day07PET,Day14PET,Day21PET,Day30PET,Day42PET,Day01WeatherPET,Day03WeatherPET,Day07WeatherPET,Day14WeatherPET,Day21WeatherPET,Day30WeatherPET,Day42WeatherPET,Day01BHET,Day03BHET,Day07BHET,Day14BHET,Day21BHET,Day30BHET,Day42BHET
ASV000020,0.04,0.0,0.02,0.02,0.06,0.07,0.04,0.04,0.0,0.02,0,0.02,0.0,0.04,0.02,0.12,0.11000000000000001,0.08666666666666667,0.09999999999999999,0.03333333333333333,0.02,0.0,0.0,0.05,2.4466666666666668,3.306666666666667,4.493333333333333,13.433333333333335,14.31,0.04,0.06,2.18,8.193333333333333,7.293333333333334,13.579999999999998,14.846666666666666,0.04,0.02,0.02,0.02,0.04,0.04,0.02666666666666667
ASV000043,0.1,0.04,0.04,0.03,0.06,0.02,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.04,0.04,0.02,0.04,0.02,0.02,0.0,0.02,0.0,0.05,1.7666666666666666,1.8866666666666667,2.1,3.9066666666666663,3.75,0.0,0.02,1.1199999999999999,3.4599999999999995,3.4933333333333336,5.146666666666667,7.126666666666668,0.07333333333333335,0.060000000000000005,0.02,0.06,0.02,0.02,0.06
ASV000098,0.04,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.02,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.44,0.39333333333333337,0.5666666666666667,1.3533333333333335,1.1300000000000001,0.0,0.02,0.3333333333333333,0.9066666666666667,0.96,1.3466666666666667,1.7066666666666668,0.0,0.02,0.0,0.02,0.02,0.02,0.0
ASV000126,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.32,0.3,0.6333333333333333,0.42000000000000004,0.0,0.02,0.18666666666666665,0.49333333333333335,0.64,0.7133333333333334,0.8666666666666667,0.0,0.0,0.04,0.0,0.0,0.0,0.0
ASV000272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.14,0.48,0.96,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV000486,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.03333333333333333,0.0,0.0,0,0.0,0.02,0.07,0.03,0.0,0.0,0.0,0.04,0.02,0.02666666666666667,0.04,0.02,0.0,0.02,0.0,0.02666666666666667,0.02,0.0,0.0,0.0,0.02,0.02,0.08,0.04666666666666667,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02
ASV000610,0.07333333333333335,0.0,0.0,0.02,0.02,0.0,0.0,0.01,0.01,0.01,0,0.0,0.0,0.015,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.02,0.0,0.0,0.0,0.01,0.02,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.01
ASV000621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.02,0.07,0.05,0.0,0.0,0.02,0.08,0.06666666666666667,0.08,0.02666666666666667,0.0,0.0,0.02,0.0,0.0,0.02,0.0
ASV000859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.03,0.04,0.0,0.0,0.0,0.05,0.04,0.02666666666666667,0.12,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03
ASV001181,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.04,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV001422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.02,0.0,0.0,0.02,0.04,0.02,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV001672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.06,0.04,0.03,0.04,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV001694,0.01,0.0,0.0,0.0,0.015,0.01,0.0,0.0,0.01,0.0,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
ASV001853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.02,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV001854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.02,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV002089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV002319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.08,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV002442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0
ASV002444,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV002594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASV002737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
